id,sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method
1,1,INV-202301-00001,2023-01-10 00:00:00,2588,1274,2,234.79,469.58,pood,Tallinn,kaart
2,2,INV-202301-00002,2023-01-16 00:00:00,4338,1207,2,241.13,482.26,pood,Pärnu,järelmaks
3,3,INV-202301-00003,2023-01-05 00:00:00,4673,1264,1,258.46,221.19,pood,Pärnu,järelmaks
4,4,INV-202301-00004,2023-01-02 00:00:00,4677,1341,3,45.21,135.63,pood,Tartu,sularaha
5,5,INV-202301-00005,2023-01-13 00:00:00,2390,1284,1,99.57,99.57,pood,Tartu,kaart
6,6,INV-202301-00006,2023-01-28 00:00:00,4536,1338,1,282.29,282.29,pood,Tartu,järelmaks
7,7,INV-202301-00007,2023-01-13 00:00:00,2029,1001,4,157.49,629.96,pood,Tartu,järelmaks
8,8,INV-202301-00008,2023-01-23 00:00:00,4097,1100,2,126.42,252.84,online,,kaart
9,9,INV-202301-00009,2023-01-07 00:00:00,3308,1202,1,22.04,22.04,pood,Tallinn,sularaha
10,10,INV-202301-00010,2023-01-08 00:00:00,2809,1083,1,72.14,72.14,pood,Tallinn,sularaha
11,11,INV-202301-00011,2023-01-12 00:00:00,3837,1119,3,181.68,545.04,pood,Tallinn,sularaha
12,12,INV-202301-00012,2023-01-09 00:00:00,3432,1345,2,225.81,451.62,online,,järelmaks
13,13,INV-202301-00013,2023-01-18 00:00:00,2511,1072,1,80.64,95.39,pood,Tallinn,järelmaks
14,14,INV-202301-00014,2023-01-01 00:00:00,2755,1153,4,79.59,318.36,pood,Tallinn,sularaha
15,15,INV-202301-00015,2023-01-05 00:00:00,3076,1018,1,47.07,47.07,pood,Pärnu,kaart
16,16,INV-202301-00016,2023-01-11 00:00:00,3357,1050,1,145.72,145.72,pood,Tallinn,järelmaks
17,17,INV-202301-00017,2023-01-16 00:00:00,4219,1168,1,316.04,316.04,pood,Tartu,kaart
18,18,INV-202301-00018,2023-01-03 00:00:00,3990,1164,1,179.35,179.35,pood,Tartu,sularaha
19,19,INV-202301-00019,2023-01-23 00:00:00,3585,1106,3,47.88,143.64,online,,sularaha
20,20,INV-202301-00020,2023-01-06 00:00:00,2539,1042,2,347.84,695.68,pood,Tallinn,kaart
21,21,INV-202301-00021,2023-01-27 00:00:00,,1203,3,17.97,53.91,pood,Tallinn,sularaha
22,22,INV-202301-00022,2023-01-17 00:00:00,3342,1303,2,312.41,624.82,online,,kaart
23,23,INV-202301-00023,2023-01-06 00:00:00,4541,1045,2,176.65,353.30,online,,järelmaks
24,24,INV-202301-00024,2023-01-20 00:00:00,4740,1113,1,86.46,-86.46,online,,kaart
25,25,INV-202301-00025,2023-01-17 00:00:00,3475,1281,1,292.61,292.61,pood,Pärnu,järelmaks
26,26,INV-202301-00026,2023-01-11 00:00:00,4167,1012,1,160.21,160.21,pood,Tallinn,sularaha
27,27,INV-202301-00027,2023-01-19 00:00:00,4229,1088,1,100.57,100.57,pood,Tartu,järelmaks
28,28,INV-202301-00028,2023-01-28 00:00:00,3458,1148,1,48.85,48.85,pood,Pärnu,kaart
29,29,INV-202301-00029,2023-01-20 00:00:00,4924,1014,1,121.78,147.58,pood,Pärnu,järelmaks
30,30,INV-202301-00030,2023-01-21 00:00:00,3761,1206,1,22.70,22.70,pood,Tartu,sularaha
31,31,INV-202301-00031,2023-01-31 00:00:00,2120,1341,1,45.21,45.21,pood,Tartu,järelmaks
32,32,INV-202301-00032,2023-01-22 00:00:00,2423,1188,2,184.07,368.14,pood,Tallinn,järelmaks
33,33,INV-202301-00033,2023-01-08 00:00:00,2331,1084,2,156.13,312.26,pood,Tallinn,järelmaks
34,34,INV-202301-00034,2023-01-31 00:00:00,,1033,1,221.42,221.42,online,,kaart
35,35,INV-202301-00035,2023-01-04 00:00:00,2339,1347,2,246.97,493.94,pood,Tallinn,kaart
36,36,INV-202301-00036,2023-01-15 00:00:00,2285,1288,2,138.90,277.80,pood,Tallinn,kaart
37,37,INV-202301-00037,2023-01-23 00:00:00,4867,1155,1,209.05,209.05,online,,kaart
